manufacturer,model,year,price,kbb_price,price_difference,fraudulent
chevrolet,Bolt EV,2022,31911,22353,9558.0,False
kia,Stinger,2023,50991,37865,13126.0,True
chevrolet,Colorado Crew Cab,2022,36495,29751,6744.0,False
toyota,Camry,2022,33491,23146,10345.0,True
chevrolet,Blazer,2020,26395,21672,4723.0,False
toyota,RAV4,2013,1500,12287,10787.0,True
ford,F350,2013,23800,16216,7584.0,False
ford,F250,2014,28440,14463,13977.0,True
chevrolet,Silverado 1500 Crew Cab,2019,32792,24966,7826.0,False
chevrolet,Silverado 1500 Crew Cab,2015,26498,14608,11890.0,True
ford,F150 SuperCrew Cab,2017,45750,21852,23898.0,True
ford,F350,2020,69997,45503,24494.0,True
chevrolet,SUBURBAN,2013,16895,12600,4295.0,False
ford,EXPEDITION,2015,13895,12250,1645.0,False
ford,E350,2013,17950,13904,4046.0,False
jeep,WRANGLER,2018,34995,21080,13915.0,True
kia,RIO,2023,14500,17875,3375.0,False
ford,F350,2011,26999,11077,15922.0,True
chevrolet,TAHOE,2013,2500,13025,10525.0,True
chevrolet,MALIBU,2018,2000,12779,10779.0,True
chevrolet,Suburban,2013,12500,12600,100.0,False
toyota,4Runner,2012,12500,18873,6373.0,False
kia,SOUL,2015,9895,7177,2718.0,False
honda,ACCORD,2012,9895,9262,633.0,False
ford,FLEX,2016,13495,12145,1350.0,False
nissan,JUKE,2012,7995,5694,2301.0,False
toyota,RAV4,2019,27995,22284,5711.0,False
chevrolet,TAHOE,2012,10995,11983,988.0,False
nissan,TITAN,2018,28888,14764,14124.0,True
ford,F250,2017,38500,21218,17282.0,True
toyota,Prius,2013,12248,10574,1674.0,False
chevrolet,Silverado 1500 Crew Cab,2019,32792,24966,7826.0,False
ford,F350,2020,49781,45503,4278.0,False
ford,F350,2020,49781,45503,4278.0,False
